mes,Macau,Macau,Macau,Macau,Mossoró,Mossoró,Mossoró,Mossoró,,Reanálise Merra-2 
ano,Prec,UR,temp,Rad,Prec,UR,temp,Rad,,
jan.-90,"14,73","53,25870968","27,92580645","35,25","25,11","72,71290323","27,02935484","34,85870968",,
fev.-90,"115,02","64,29607143","27,1","35,89428571","61,14","75,85607143","27,00892857","35,55678571",,
mar.-90,"60,74","62,42870968","27,26354839","34,99580645","27,26","74,14483871","27,57451613","35,51612903",,
abr.-90,"141,18","67,54633333","27,075","35,51633333","111,66","75,70033333","27,67","35,76666667",,
mai.-90,"45,02","66,11483871","26,44903226","34,64129032","120,99","78,40677419","26,81903226","35,32225806",,
jun.-90,"10,77","54,28233333","27,306","34,409","141,63","79,68333333","26,07666667","35,13766667",,
jul.-90,"40,91","58,93677419","26,37774194","34,5783871","102,98","78,59612903","25,56354839","34,70419355",,
ago.-90,"11,09","48,98806452","27,14419355","33,7783871","102,19","77,33548387","25,06870968","34,55677419",,
set.-90,"8,65","44,23066667","28,41066667","34,17333333","21,32","72,23366667","25,798","33,88",,
out.-90,"3,5","43,57903226","29,20806452","35,40677419","20,25","72,32774194","26,30451613","34,24935484",,
nov.-90,"11,58","44,839","29,56233333","35,388","21,83","72,56866667","26,83066667","34,65766667",,
dez.-90,"4,1","42,2983871","29,90419355","35,38451613","7,47","69,64258065","27,17419355","34,60548387",,
jan.-91,"90,2","54,48967742","28,6516129","35,93483871","18,13","71,86870968","27,43064516","35,07967742",,
fev.-91,"92,37","65,39785714","27,06678571","35,62392857","55,51","73,60357143","27,43285714","35,37785714",,
mar.-91,"218,47","73,03290323","26,30774194","35,73806452","166,88","78,06935484","27,23064516","36,02225806",,
abr.-91,"106,71","77,73733333","25,34366667","35,093","138,06","79,85666667","26,93733333","35,32566667",,
mai.-91,"124,75","80,51645161","24,90419355","35,01290323","201,71","80,82774194","26,72774194","35,99354839",,
jun.-91,"16,91","64,22866667","25,55066667","34,098","132,99","78,92533333","26,005","35,38166667",,
jul.-91,"1,34","50,51548387","26,45451613","32,83032258","74,25","76,40645161","25,06935484","34,09580645",,
ago.-91,"2,7","46,34322581","26,82483871","32,82225806","36,5","73,90483871","24,87129032","33,75225806",,
set.-91,"0,03","42,67233333","28,53633333","33,64","12,39","72,47833333","25,55666667","33,78766667",,
out.-91,"1,22","41,49129032","28,64709677","33,85387097","21,49","70,69709677","25,65354839","33,43290323",,
nov.-91,"3,99","43,867","29,231","35,072","10,9","70,84233333","26,44266667","34,03466667",,
dez.-91,"0,5","43,3616129","29,40483871","33,86806452","4,27","69,76870968","26,90870968","33,51645161",,
jan.-92,"160,68","55,03548387","28,36129032","35,33064516","84,58","76,23483871","26,77","35,02129032",,
fev.-92,"178,34","79,6","25,11068966","35,60241379","166,49","81,58","26,51206897","35,87103448",,
mar.-92,"185,33","79,57677419","25,25354839","35,34903226","219,9","81,23451613","26,70387097","35,96516129",,
abr.-92,"108,69","80,669","25,038","34,689","137,43","81,411","26,612","35,61033333",,
mai.-92,"7,38","63,24741935","26,39387097","34,00677419","64,18","75,65064516","26,64064516","34,80677419",,
jun.-92,"15,27","55,699","26,80733333","34,16166667","127,65","79,791","25,529","34,88033333",,
jul.-92,"6,76","49,12419355","26,48935484","33,12","43,99","73,49290323","25,03645161","33,60774194",,
ago.-92,"0,56","45,45645161","27,45354839","32,8916129","67,64","74,30387097","24,94741935","33,80903226",,
set.-92,"6,31","44,08466667","28,093","34,235","18,07","69,94633333","25,38266667","33,75533333",,
out.-92,0,"40,7816129","28,68387097","33,31967742","3,77","68,29935484","25,88354839","33,45451613",,
nov.-92,"0,45","42,26","29,394","34,479","12,34","71,22333333","26,24633333","34,20233333",,
dez.-92,"0,63","44,08451613","29,38354839","34,82032258","10,06","71,92354839","26,66096774","34,49774194",,
jan.-93,"34,39","49,87290323","28,52935484","35,23870968","22,44","73,01612903","26,67774194","34,90193548",,
fev.-93,"32,32","47,53285714","29,32714286","35,51464286","10,63","70,66035714","27,41821429","34,80928571",,
mar.-93,"68,44","52,43935484","28,72225806","35,26451613","64,33","71,63032258","27,37612903","34,55096774",,
abr.-93,"39,32","57,67933333","28,121","35,425","101,75","76,92366667","27,093","35,43733333",,
mai.-93,"75,47","60,68967742","26,98741935","34,76935484","52,34","75,7416129","26,95709677","35,01548387",,
jun.-93,"4,49","52,231","26,92566667","34,03733333","65,12","75,616","26,01433333","34,84266667",,
